# Параметри договорів для «Фінансового звіту виробництва» (напрямок «Производство»)
#
# Файл — джерело для ПОВТОРНОЇ заливки у базу bas_industrialbud.
# Завантажити назад:  python doc_finrep_load_dogovorov.py --apply
#
# Ключ — UUID договору. Наймення НЕ ключ: вони не унікальні і містять помилки набору
# («Договід підряду» замість «Договір»), а один номер 21/01/26 буває у кількох договорів.
#
# Колонки (розділювач — TAB):
#   1 UUID              не змінювати
#   2 Підрозділ         довідково, не завантажується
#   3 Контрагент        довідково, не завантажується
#   4 Договір           довідково, не завантажується
#   5 СумаУгоди         → А_СуммаСоглашения      (колонка C звіту)
#   6 СумаДЦ            → А_СуммаДЦ              (колонка D звіту)
#   7 ВідсотокУтримання → А_ПроцентГарантийногоУдержания, 0..100
#   8 ВаріантФормули    → А_ВариантФормулыИтога: ЗадолженностьПлюсАкты | ВыполнениеМинусОплата | ТолькоРучной | (порожньо)
#   9 Об'єктПримітка    → А_ОбъектПримечание     (колонка B звіту)
#
# Формули підсумку K:
#   ЗадолженностьПлюсАкты  = G + I + J + H×(1 − Відсоток/100)
#   ВыполнениеМинусОплата  = (E + H)×(1 − Відсоток/100) + J − F
#   ТолькоРучной           = 0 (усе задається коригуваннями у документі)
#
# Порожній рядок = параметри не задані. Заповніть і завантажте — незаповнені пропускаються.
#
UUID	Підрозділ	Контрагент	Договір	СумаУгоди	СумаДЦ	ВідсотокУтримання	ВаріантФормули	Об'єктПримітка
47170bfd-07eb-11f1-8106-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду 19/01/26-1 Ав рез розчин Глоб	0.00	0.00	0.00		
99199e2e-335b-11f1-810e-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду 19/01/26-1 Естакада 6.4 Глоб	0.00	0.00	0.00		
30dc1cdf-07ec-11f1-8106-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду 21/01/26 Пост охорони Глоб	53725.70	0.00	0.00		21/01/26, 237-АБ-13 - Пост охорони
e43a08b3-3359-11f1-810e-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду 01/10/25 Глоб Рез парк розч 3.1.1	0.00	0.00	0.00		
5b81d53c-99f8-11f0-80fe-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду 01/10/25 Глобине Естакада 6.2	824638.50	0.00	0.00		237-6.2-КБ-КМ-Р-Естакада інженерних комунікацій rev 1.0 - 414 540грн -12,6т 237-3.1.1-Р-АБ Рез-парк розчинника rev 1.3 - 149 859,5грн - 4,555т 237-3.1.1-КМ-Р-Рез-парк розчинника-rev 1.1 - 260 239 грн
2e2ad59d-99f2-11f0-80fe-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду 16/09/25-1 Глобине СПК біг-бег	2057237.00	0.00	0.00		237-4.1-АБ-Р-Склад зберігання соєвого концентрату в біг-бегах-rev 1.0
091ed6da-99f7-11f0-80fe-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду 16/09/25-3 Глобине Транс гал-3.4	1328173.00	0.00	0.00		237_3_4_КБ,_КМ_Р_Транспортна_галерея_rev_1_0 Транспортна галерея 3.4 - КМ
0d0bfc19-8263-11f0-80fc-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду №08/08/25 Глобине( Естакада, Тран)	2013107.50	0.00	0.00		237_1-25.6-КМ-Р-Транспортна галерея-rev 1.3 - 990 000грн 3.5 - КМ (237-3.5-КБ, КМ-Р Естакада інженерних комунікацій rev 1.1) - 914 500грн Транспортна галерея 3.3 (237-3.3-КБ2, КМ2-Р Градирня. Естакад
5fb02e9d-2405-11f0-80dd-00155dce3d04	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду09/04-25 від 09.04.2025 ГлобинеСПК	618030.00	0.00	20.00	ЗадолженностьПлюсАкты	СПК
5b7a1d30-d17a-11ef-80d7-00155d235309	МК Глобино	ІНДАСТРIАЛБУД ТОВ	Договір підряду24/09-24 від 24.09.2024 Глобине ДУ2	0.00	0.00	0.00		
f1789c87-7b8c-11f1-8119-00155dce3d04	МК Каменец Цемент	ІНДАСТРIАЛБУД ТОВ	Договір підряду 07/07/26-МК Каменец Цемент	0.00	0.00	0.00		
162f9acb-327d-11f1-810e-00155dce3d04	МК Кривий ріг	ІНДАСТРIАЛБУД ТОВ	Договір підряду 06/04/26-МК Кривий РІГ	7961800.00	0.00	15.00	ВыполнениеМинусОплата	
63dbb196-146e-11f0-80da-00155d235309	МК МХП Катеринополь	ІНДАСТРIАЛБУД ТОВ	Договір підряду ДУ-5 №26/01-М Єрки (Шрот)	0.00	0.00	0.00		
9e119730-2454-11f1-810b-00155dce3d04	МК Чорноморськ	ІНДАСТРIАЛБУД ТОВ	Договір підряду 05/03/26 Чорноморськ (відходи)	0.00	0.00	0.00		
27eebd71-276c-11f1-810c-00155dce3d04	МК Чорноморськ	ІНДАСТРIАЛБУД ТОВ	Договір підряду 20/01/26 Чорноморськ(компресорна)	0.00	0.00	0.00		
89c5af80-066e-11f1-8106-00155dce3d04	МК Чорноморськ	ІНДАСТРIАЛБУД ТОВ	Договір підряду 20/01/26 Чорноморськ(наливна ест)	0.00	0.00	0.00		
6d697368-08c0-11f1-8106-00155dce3d04	Укрнафта 1 Модуль	УКРНАФТА ПАТ	Договір про закупівлю 13/3933-МТР/25	0.00	0.00	0.00		
