№;Организация;Контрагент;Номенклатура;Склад;Сумма_БО;Количество
38;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Рамка 1-постова;ІС Цех МД ПРООН;-46,39;0
39;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Свердло  14х152 мм ;ІС Цех МШП ПРООН;-50,00;0
40;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;ВВГнг 3х4 кабель;ІС МД ООН;-52,26;0
41;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДЕПТ СТІЛ ТОВ;Шафа 1000х400х2200;ІС МД ООН;-53,67;0
42;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Коробка установча (гіпсокартон) 65*45 ІР30 внутр набірна;ІС Цех МД ПРООН;-54,75;0
43;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДЕПТ СТІЛ ТОВ;Дзеркало коло в рамі 600мм;ІС МД ООН;-78,10;0
44;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Свердло по металу 5,0 HSS Cobalt;ІС Цех МШП ПРООН;-96,67;0
45;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДЕПТ СТІЛ ТОВ;Обігрівач керамічний  TC395 (бежевий) ;ІС МД ООН;-96,81;0
46;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Труба гофрована 16мм;ІС Цех МД ПРООН;-104,35;0
47;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Вимикач 2 кл білий;ІС Цех МД ПРООН;-122,14;0
48;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Електроконвектор 220Вт;ІС Цех МД ПРООН;-127,50;0
49;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Дошка 25х100;ІС Цех МД ПРООН;-136,47;0
50;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Рукавиці , пар;ІС Цех МШП ПРООН;-145,01;0
51;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Круг відрізний 125*1,6*22;ІС Цех МШП ПРООН;-199,75;0
52;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Ніж 18мм ;ІС Цех МШП ПРООН;-305,84;0
53;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;"Маска зварювальна; автозатемнення";ІС Цех МШП ПРООН;-310,00;0
54;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Рулетка  ;ІС Цех МШП ПРООН;-383,94;0
55;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Вилка кабельна;ІС Цех МД ПРООН;-385,44;0
56;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Клей-піна, 860 мл;ІС Цех МД ПРООН;-504,00;0
57;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Розетка настінна ;ІС Цех МД ПРООН;-526,73;0
58;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Рукавиці, пар. ;ІС Цех МШП ПРООН;-538,35;0
59;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Змішувач для умивальника ;ІС Цех МД ПРООН;-634,67;0
60;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Дріт зварювальний 1,2 мм, 15 кг;ІС Цех МШП ПРООН;-680,47;0
61;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДЕПТ СТІЛ ТОВ;Стіл нерозкладний 1180х750;ІС МД ООН;-1048,00;0
62;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;"Рукавиці зварювальника ""Крага"" ";ІС Цех МШП ПРООН;-1097,16;0
63;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;ВВГнг 3х1,5 кабель;ІС Цех МД ПРООН;-1137,60;0
64;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;ВВГнг 3х2,5 кабель;ІС Цех МД ПРООН;-1219,45;0
65;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Саморіз 4,8х35 ;ІС Цех МД ПРООН;-2011,12;0
66;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Кухня;ІС МД ООН;-5010,80;0
67;"ТОВ ""ІНДЕПТ СТІЛ""";ІНДАСТРIАЛБУД ТОВ;Цементно-стружкова плита  3200*1250*20 мм;ІС Цех МД ПРООН;-5025,43;0

ИТОГО;;;;;-462,34;0
