Период;Подразделение;Группа;СтатьяPL;Тип;Авто;СуммаPL;СуммаАДР;Разница;Δ_%;Статус
2025-12;MAN №5 KA5697НВ;Маркетинговые затраты;Прочие маркетинговые затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;ЗП управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Начисления на управленчискую зарплату;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Удержание с зарплаты управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;ЗП РМ;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Удержание с зарплаты РМ;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Начисления на зарплату PM;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Премия управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Телекомуникационные услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Транспортные затраты управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Аренда офиса с коммунальными платежами;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Затраты на коммандировки управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Юридические услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Услуги банков;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Затраты на обучение персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Затраты по корпоративной культуре;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Налоги и сборы;НДС/ Прочие налоги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Финансовая деятельность;Финансовый доход;Доход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Финансовая деятельность;Финансовые расходы;Расход;;7026.38;0.00;7026.38;100.00;DATA_GAP
2025-12;MAN №5 KA5697НВ;Финансовая деятельность;Затраты на налог на прибыль;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Финансовая деятельность;Дивиденды;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;MAN №5 KA5697НВ;Административные затраты;Штраф;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Операционный доход;Выручка от продаж (товаров, работ, услуг);Доход;;537270.00;95341.66;441928.34;463.52;DATA_GAP
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);ЗП производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Удержание с зарплаты производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Начисления на зарплату производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Зарплата ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Удержание с зарплаты ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Начисления на зарплату ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);ЗП подсобников;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Оплата за выполненные работы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Премия производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Услуги сторонних организаций;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Аренда строительного оборудования;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Аренда опалубки;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Арена техники;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Аренда сторонней техники;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Аренда вагончика;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Логистические затраты;Расход;;504900.00;420250.01;84649.99;20.14;DATA_GAP
